Name,Nodes,Features,Configs,PresentConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_all.cfg,106,2,4,2,shallow,1.12E-05,1.11E-05,1.13E-05,3.22E-07,2.32E-07,4.34E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_all.cfg,106,2,4,2,deep,1.47E-04,1.47E-04,1.48E-04,2.07E-06,1.63E-06,2.98E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_list.cfg,104,2,4,2,brute-force,2.91E-05,2.89E-05,2.93E-05,6.45E-07,4.05E-07,1.08E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_list.cfg,104,2,4,2,shallow,1.10E-05,1.10E-05,1.11E-05,1.60E-07,1.32E-07,2.08E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_list.cfg,104,2,4,2,deep,1.46E-04,1.44E-04,1.50E-04,8.89E-06,5.61E-06,1.53E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_list_reassign.cfg,104,2,4,2,brute-force,2.88E-05,2.86E-05,2.89E-05,4.50E-07,3.38E-07,6.47E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_list_reassign.cfg,104,2,4,2,shallow,1.26E-05,1.21E-05,1.31E-05,1.78E-06,1.48E-06,2.27E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_list_reassign.cfg,104,2,4,2,deep,1.45E-04,1.44E-04,1.49E-04,6.20E-06,2.30E-06,1.25E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_reject_list.cfg,116,2,4,2,brute-force,3.19E-05,3.18E-05,3.22E-05,6.22E-07,4.19E-07,8.64E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_reject_list.cfg,116,2,4,2,shallow,1.24E-05,1.23E-05,1.25E-05,3.76E-07,2.16E-07,5.74E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/filter_accept_reject_list.cfg,116,2,4,2,deep,1.62E-04,1.61E-04,1.62E-04,1.93E-06,1.57E-06,2.46E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/find_list_entry.cfg,125,2,4,2,brute-force,3.45E-05,3.41E-05,3.52E-05,1.72E-06,9.77E-07,2.99E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/find_list_entry.cfg,125,2,4,2,shallow,1.33E-05,1.32E-05,1.33E-05,1.78E-07,1.51E-07,2.14E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/find_list_entry.cfg,125,2,4,2,deep,1.73E-04,1.72E-04,1.75E-04,3.32E-06,2.18E-06,5.80E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_ar.cfg,115,2,4,2,brute-force,3.20E-05,3.16E-05,3.25E-05,1.47E-06,8.40E-07,2.20E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_ar.cfg,115,2,4,2,shallow,1.21E-05,1.20E-05,1.25E-05,4.96E-07,1.23E-07,1.11E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_ar.cfg,115,2,4,2,deep,1.61E-04,1.60E-04,1.62E-04,3.67E-06,2.16E-06,6.58E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_cpio.cfg,154,2,4,2,brute-force,4.22E-05,4.16E-05,4.35E-05,2.95E-06,1.90E-06,4.45E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_cpio.cfg,154,2,4,2,shallow,1.68E-05,1.67E-05,1.69E-05,2.47E-07,1.80E-07,3.41E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_cpio.cfg,154,2,4,2,deep,2.14E-04,2.12E-04,2.16E-04,5.88E-06,4.09E-06,1.01E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar.cfg,181,8,256,96,brute-force,5.08E-03,5.02E-03,5.16E-03,2.06E-04,1.50E-04,2.96E-04
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar.cfg,181,8,256,96,shallow,9.54E-04,9.42E-04,9.74E-04,5.22E-05,3.65E-05,7.74E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar.cfg,181,8,256,96,deep,2.82E-04,2.80E-04,2.85E-04,7.58E-06,3.98E-06,1.28E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar_bz2.cfg,110,3,8,4,brute-force,6.35E-05,6.32E-05,6.39E-05,1.25E-06,8.99E-07,1.95E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar_bz2.cfg,110,3,8,4,shallow,2.34E-05,2.33E-05,2.35E-05,3.05E-07,2.56E-07,3.64E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar_bz2.cfg,110,3,8,4,deep,1.54E-04,1.53E-04,1.55E-04,2.68E-06,2.19E-06,3.32E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar_gz.cfg,110,3,8,4,brute-force,6.38E-05,6.36E-05,6.41E-05,8.25E-07,6.63E-07,1.11E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar_gz.cfg,110,3,8,4,shallow,2.62E-05,2.52E-05,2.78E-05,4.41E-06,3.63E-06,5.28E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar_gz.cfg,110,3,8,4,deep,1.55E-04,1.53E-04,1.57E-04,5.67E-06,2.88E-06,8.55E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar_lzma.cfg,110,3,8,4,brute-force,6.61E-05,6.49E-05,6.76E-05,4.62E-06,3.42E-06,5.81E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar_lzma.cfg,110,3,8,4,shallow,2.34E-05,2.34E-05,2.35E-05,2.83E-07,2.28E-07,3.50E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/get_header_tar_lzma.cfg,110,3,8,4,deep,1.57E-04,1.56E-04,1.63E-04,6.29E-06,2.57E-06,1.49E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/header_list.cfg,105,2,4,2,brute-force,3.06E-05,2.99E-05,3.21E-05,3.08E-06,1.64E-06,5.82E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/header_list.cfg,105,2,4,2,shallow,1.10E-05,1.09E-05,1.10E-05,1.26E-07,1.04E-07,1.53E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/header_list.cfg,105,2,4,2,deep,1.47E-04,1.47E-04,1.48E-04,2.25E-06,1.87E-06,2.91E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/header_skip.cfg,103,2,4,2,brute-force,2.88E-05,2.87E-05,2.90E-05,4.58E-07,3.61E-07,5.82E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/header_skip.cfg,103,2,4,2,shallow,1.09E-05,1.08E-05,1.11E-05,4.41E-07,2.67E-07,6.78E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/header_skip.cfg,103,2,4,2,deep,1.43E-04,1.42E-04,1.49E-04,7.44E-06,1.98E-06,1.68E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/header_verbose_list.cfg,128,3,8,8,brute-force,7.57E-05,7.44E-05,7.79E-05,5.65E-06,3.93E-06,9.36E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/header_verbose_list.cfg,128,3,8,8,shallow,5.38E-05,5.35E-05,5.46E-05,1.56E-06,8.07E-07,3.04E-06
/mnt/f/code/busybox-1.31.1/archival/libarchive/header_verbose_list.cfg,128,3,8,8,deep,1.87E-04,1.86E-04,1.91E-04,7.86E-06,4.52E-06,1.36E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/init_handle.cfg,113,5,32,4,brute-force,2.73E-04,2.68E-04,2.83E-04,2.30E-05,1.28E-05,3.62E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/init_handle.cfg,113,5,32,4,shallow,2.42E-05,2.41E-05,2.44E-05,4.86E-07,3.10E-07,8.26E-07
/mnt/f/code/busybox-1.31.1/archival/libarchive/init_handle.cfg,113,5,32,4,deep,1.60E-04,1.58E-04,1.65E-04,1.13E-05,6.80E-06,1.98E-05
/mnt/f/code/busybox-1.31.1/archival/libarchive/lzo1x_1.cfg,241,2,4,2,brute-force,6.17E-05,6.14E-05,6.22E-05,1.37E-06,1.10E-06,1.95E-06
