Name,Nodes,Features,Configs,EffectiveConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.18.5/libbb/update_passwd.cfg,215,5,32,8,/shallow,1.293168997452564e-4,1.2860502890384512e-4,1.3070064683919655e-4,3.357164224415808e-6,1.966670299118406e-6,5.847618795050577e-6
/mnt/f/code/busybox-1.18.5/libbb/update_passwd.cfg,215,5,32,8,/deep,5.495539572181785e-2,5.428540093162732e-2,5.578909856498256e-2,1.3752120322302083e-3,7.73974884782767e-4,1.8717055498592026e-3
/mnt/f/code/busybox-1.18.5/libbb/utmp.cfg,122,1,2,2,/brute-force,1.5459388064394206e-5,1.5361396874337723e-5,1.559785832425267e-5,3.821245150089959e-7,2.6526041066535273e-7,4.93983247891873e-7
/mnt/f/code/busybox-1.18.5/libbb/utmp.cfg,122,1,2,2,/shallow,1.3161020575523883e-5,1.3047421458988232e-5,1.342973875719021e-5,5.67449933721338e-7,3.2004938620913763e-7,1.009486036522631e-6
/mnt/f/code/busybox-1.18.5/libbb/utmp.cfg,122,1,2,2,/deep,1.2964215742308364e-3,1.2883426957844438e-3,1.3080314275090701e-3,3.1905937336188736e-5,2.377134276969993e-5,4.32828980323586e-5
/mnt/f/code/busybox-1.18.5/libbb/uuencode.cfg,145,0,0,1,/brute-force,9.263157285235263e-9,9.12873755375824e-9,9.87014308493702e-9,8.155460542595156e-10,1.1589945502274657e-10,1.8599379175884736e-9
/mnt/f/code/busybox-1.18.5/libbb/uuencode.cfg,145,0,0,1,/shallow,1.008363257313444e-5,1.0051129393381312e-5,1.0137765030878773e-5,1.4071804722490621e-7,9.04927170356599e-8,2.4312948006554563e-7
/mnt/f/code/busybox-1.18.5/libbb/uuencode.cfg,145,0,0,1,/deep,1.2355955329969412e-3,1.22604157473138e-3,1.2536364699740265e-3,4.259656518649097e-5,2.6636261292937923e-5,6.237097776843944e-5
/mnt/f/code/busybox-1.18.5/libbb/u_signal_names.cfg,110,0,0,1,/brute-force,9.141322598533616e-9,9.099386005109847e-9,9.190558636092358e-9,1.5001099882430458e-10,1.1875168504078997e-10,1.926351735816057e-10
/mnt/f/code/busybox-1.18.5/libbb/u_signal_names.cfg,110,0,0,1,/shallow,6.016016442549292e-6,5.995371484575487e-6,6.049579596013397e-6,8.478504629099797e-8,5.536451170330666e-8,1.203026606751906e-7
/mnt/f/code/busybox-1.18.5/libbb/u_signal_names.cfg,110,0,0,1,/deep,2.1271257286390585e-4,2.1154064149657154e-4,2.145419971746682e-4,4.994754751844463e-6,3.3400632626094414e-6,7.542517410913638e-6
/mnt/f/code/busybox-1.18.5/libbb/vdprintf.cfg,89,0,0,1,/brute-force,9.252795897072885e-9,9.126219316740884e-9,9.590766146154221e-9,6.623036628329484e-10,2.575016828702732e-10,1.2650548194795244e-9
/mnt/f/code/busybox-1.18.5/libbb/vdprintf.cfg,89,0,0,1,/shallow,4.095081223319109e-6,4.073241331405762e-6,4.1390163637505456e-6,1.0011817600140372e-7,4.497385947355556e-8,1.7491348816321372e-7
/mnt/f/code/busybox-1.18.5/libbb/vdprintf.cfg,89,0,0,1,/deep,9.841041639322893e-5,9.789387179039506e-5,9.920635453399229e-5,2.1806591133442308e-6,1.6399878961691547e-6,2.8204146331948097e-6
/mnt/f/code/busybox-1.18.5/libbb/verror_msg.cfg,150,1,2,2,/brute-force,6.69326268969967e-5,6.608807207161038e-5,6.906704825945114e-5,4.277897620466454e-6,1.867639609330872e-6,8.734971220666172e-6
/mnt/f/code/busybox-1.18.5/libbb/verror_msg.cfg,150,1,2,2,/shallow,6.305697369249642e-5,6.278557383521932e-5,6.339681843113302e-5,9.891075641186531e-7,7.470264303457081e-7,1.2919171283493964e-6
/mnt/f/code/busybox-1.18.5/libbb/verror_msg.cfg,150,1,2,2,/deep,1.5458697036895142e-2,1.526871992437481e-2,1.5768417790952526e-2,5.852655726431723e-4,3.163529851572572e-4,8.794578387434809e-4
/mnt/f/code/busybox-1.18.5/libbb/vfork_daemon_rexec.cfg,238,2,4,4,/brute-force,7.266364705867132e-5,7.217840167091221e-5,7.340645729617916e-5,2.154631966269654e-6,1.6217369747985292e-6,2.9854216760215643e-6
/mnt/f/code/busybox-1.18.5/libbb/vfork_daemon_rexec.cfg,238,2,4,4,/shallow,6.339920856881687e-5,6.317857199920933e-5,6.370967255589936e-5,9.093125680692456e-7,5.659919769851079e-7,1.2868526020447137e-6
/mnt/f/code/busybox-1.18.5/libbb/vfork_daemon_rexec.cfg,238,2,4,4,/deep,5.819405599826109e-3,5.786733635158472e-3,5.855984203237925e-3,1.0284214881966897e-4,8.514784839752669e-5,1.3054080171853838e-4
/mnt/f/code/busybox-1.18.5/libbb/warn_ignoring_args.cfg,93,1,2,2,/brute-force,1.101873333253213e-5,1.0984087853770486e-5,1.1056629218415724e-5,1.2439111115674114e-7,9.046874409893813e-8,1.6161053620269976e-7
/mnt/f/code/busybox-1.18.5/libbb/warn_ignoring_args.cfg,93,1,2,2,/shallow,8.811997705548987e-6,8.767269018602412e-6,8.873020652479514e-6,1.758489299736918e-7,1.2780699298565296e-7,2.5893736186618084e-7
/mnt/f/code/busybox-1.18.5/libbb/warn_ignoring_args.cfg,93,1,2,2,/deep,1.2937149981307814e-4,1.28788330652444e-4,1.3017100700285774e-4,2.2522732887566652e-6,1.6993762965416257e-6,2.9451157014235504e-6
/mnt/f/code/busybox-1.18.5/libbb/wfopen.cfg,115,0,0,1,/brute-force,9.201394745592176e-9,9.161323389012364e-9,9.262235232540348e-9,1.6150289763361802e-10,1.140299282376608e-10,2.583375934345918e-10
/mnt/f/code/busybox-1.18.5/libbb/wfopen.cfg,115,0,0,1,/shallow,6.170106980705048e-6,6.132413741497042e-6,6.225620660363657e-6,1.4659831501890493e-7,1.0336399650273957e-7,2.0277382262223488e-7
/mnt/f/code/busybox-1.18.5/libbb/wfopen.cfg,115,0,0,1,/deep,1.8281586685008988e-4,1.8151952943784003e-4,1.8575843043742665e-4,6.182014210892671e-6,2.8910587237911754e-6,1.0494580953147053e-5
/mnt/f/code/busybox-1.18.5/libbb/wfopen_input.cfg,112,0,0,1,/brute-force,9.163876567331017e-9,9.110420044879885e-9,9.246531101443789e-9,2.205906685869146e-10,1.6430075412899005e-10,3.003857935280688e-10
/mnt/f/code/busybox-1.18.5/libbb/wfopen_input.cfg,112,0,0,1,/shallow,6.012938182177582e-6,5.988154166886338e-6,6.0532508308565695e-6,1.0477458397340053e-7,7.926776789891081e-8,1.327524809641764e-7
/mnt/f/code/busybox-1.18.5/libbb/wfopen_input.cfg,112,0,0,1,/deep,2.228282594207147e-4,2.2079788825429882e-4,2.268225161567626e-4,9.493343438253993e-6,5.892625059990102e-6,1.3221629991736817e-5
/mnt/f/code/busybox-1.18.5/libbb/write.cfg,96,0,0,1,/brute-force,9.263251966120003e-9,9.210861773702603e-9,9.330094102119961e-9,1.9035680630220623e-10,1.4894687941287942e-10,2.5053027810899814e-10
/mnt/f/code/busybox-1.18.5/libbb/write.cfg,96,0,0,1,/shallow,4.828724085187469e-6,4.801544355411154e-6,4.9245650713340065e-6,1.601689186608895e-7,5.132067031712414e-8,3.207292488697551e-7
/mnt/f/code/busybox-1.18.5/libbb/write.cfg,96,0,0,1,/deep,1.2642243176324628e-4,1.2597815587814788e-4,1.2684323143006182e-4,1.4765922120586298e-6,1.1641926908023123e-6,2.0599194053592965e-6
/mnt/f/code/busybox-1.18.5/libbb/xatonum.cfg,213,0,0,1,/brute-force,9.601828288610192e-9,9.479541950350447e-9,9.858238981297789e-9,5.39799497136463e-10,3.193706093108433e-10,1.017391350557171e-9
/mnt/f/code/busybox-1.18.5/libbb/xatonum.cfg,213,0,0,1,/shallow,1.4843469921109805e-5,1.479411196063643e-5,1.4917291129284455e-5,2.1177353577940966e-7,1.416111689970842e-7,3.4989865679336295e-7
/mnt/f/code/busybox-1.18.5/libbb/xatonum.cfg,213,0,0,1,/deep,2.423252235979929e-3,2.4071193601753285e-3,2.4492719287921056e-3,6.556979359611964e-5,3.681720354907211e-5,1.1757890990791807e-4
/mnt/f/code/busybox-1.18.5/libbb/xconnect.cfg,267,2,4,4,/brute-force,1.0897417805516086e-4,1.0839808112066626e-4,1.1013084414128063e-4,2.715521315876271e-6,1.6796004483139995e-6,4.446912839057757e-6
/mnt/f/code/busybox-1.18.5/libbb/xconnect.cfg,267,2,4,4,/shallow,9.881767089754244e-5,9.825381245612981e-5,9.97800573895627e-5,2.3997280180932484e-6,1.2640539537899008e-6,3.8662961514893714e-6
/mnt/f/code/busybox-1.18.5/libbb/xconnect.cfg,267,2,4,4,/deep,4.3514684833507716e-3,4.335133063792032e-3,4.369869028529284e-3,5.1644341657579285e-5,4.282492913856067e-5,6.637860473045117e-5
/mnt/f/code/busybox-1.18.5/libbb/xfuncs.cfg,216,0,0,1,/brute-force,9.673212288008836e-9,9.471083282021444e-9,1.005977546116994e-8,8.818025795012411e-10,5.679778719716556e-10,1.3891922249828258e-9
/mnt/f/code/busybox-1.18.5/libbb/xfuncs.cfg,216,0,0,1,/shallow,1.3120201157001673e-5,1.306278031199074e-5,1.3200163462249508e-5,2.125073695548824e-7,1.5561094098034066e-7,2.8558235718926424e-7
/mnt/f/code/busybox-1.18.5/libbb/xfuncs.cfg,216,0,0,1,/deep,2.376013549550828e-3,2.3633136021927186e-3,2.395210546861045e-3,4.995890420872405e-5,3.6241554444400447e-5,6.939042652971595e-5
/mnt/f/code/busybox-1.18.5/libbb/xfuncs_printf.cfg,398,8,256,96,/brute-force,1.6022967682446727e-2,1.5755384210408e-2,1.6479988411903294e-2,8.776095389912174e-4,4.380568072902015e-4,1.2804330475876173e-3
/mnt/f/code/busybox-1.18.5/libbb/xfuncs_printf.cfg,398,8,256,96,/shallow,4.614001967021265e-3,4.588818168159862e-3,4.649652767777856e-3,9.27800764109058e-5,6.0438182839681885e-5,1.347222846807576e-4
/mnt/f/code/busybox-1.18.5/libbb/xfuncs_printf.cfg,398,8,256,96,/deep,3.56084131471526e-3,3.537775092611647e-3,3.589422147471909e-3,8.282491465482786e-5,6.759208634120849e-5,1.0335996881366755e-4
/mnt/f/code/busybox-1.18.5/libbb/xfunc_die.cfg,102,1,2,2,/brute-force,1.2487360345432728e-5,1.243027273363861e-5,1.2564404690245948e-5,2.1591998094360897e-7,1.7372494893257427e-7,2.8838889832359515e-7
